jobId,品牌,岗位,缺失筛选维度,自由文本证据
529065,"奥乐齐","奥乐齐-芜湖银泰-通岗店员-全职",学历,"高中"
529065,"奥乐齐","奥乐齐-芜湖银泰-通岗店员-全职",健康证情况,"食品健康证"
529065,"奥乐齐","奥乐齐-芜湖银泰-通岗店员-全职",是否学生,"社会人士"
528984,"奥乐齐","奥乐齐-张家港购物公园-通岗店员-全职",学历,"高中"
528984,"奥乐齐","奥乐齐-张家港购物公园-通岗店员-全职",健康证情况,"食品健康证"
528984,"奥乐齐","奥乐齐-张家港购物公园-通岗店员-全职",是否学生,"社会人士"
528983,"奥乐齐","奥乐齐-苏州江宙路-通岗店员-全职",学历,"高中"
528983,"奥乐齐","奥乐齐-苏州江宙路-通岗店员-全职",健康证情况,"食品健康证"
528983,"奥乐齐","奥乐齐-苏州江宙路-通岗店员-全职",是否学生,"社会人士"
528726,"奥乐齐","奥乐齐-南通圆融金鹰-社会兼职-小时工",是否学生,"社会人士"
528695,"奥乐齐","奥乐齐-1066 金山都乐汇-通岗店员-全职",学历,"高中"
528695,"奥乐齐","奥乐齐-1066 金山都乐汇-通岗店员-全职",健康证情况,"食品健康证"
528695,"奥乐齐","奥乐齐-1066 金山都乐汇-通岗店员-全职",是否学生,"社会人士"
528686,"奥乐齐","奥乐齐-南通如皋万达店-社会兼职-小时工",是否学生,"社会人士"
528620,"奥乐齐","奥乐齐-苏州胥江里-通岗店员-全职",学历,"高中"
528620,"奥乐齐","奥乐齐-苏州胥江里-通岗店员-全职",健康证情况,"食品健康证"
528620,"奥乐齐","奥乐齐-苏州胥江里-通岗店员-全职",是否学生,"社会人士"
528529,"奥乐齐","奥乐齐-张家港览秀城店-分拣打包-小时工",是否学生,"社会人士"
526060,"奥乐齐","奥乐齐-5004梅村五洲-社会兼职-兼职",是否学生,"社会人士"
524948,"奥乐齐","奥乐齐-5009落霞睦邻-分拣打包-小时工",是否学生,"社会人士"
524090,"奥乐齐","奥乐齐-5002经开朗诗-分拣打包-小时工",是否学生,"社会人士"
524002,"奥乐齐","奥乐齐-1084奉贤苏宁广场-晚班补货-小时工",是否学生,"社会人士"
523901,"奥乐齐","奥乐齐-1083曲阳666-晚班补货-小时工",健康证情况,"食品健康证"
523257,"奥乐齐","奥乐齐-1042 光合新座-晚班补货-小时工",是否学生,"社会人士"
523231,"奥乐齐","奥乐齐-1078 宝杨宝龙-晚班补货-小时工",是否学生,"社会人士"
523125,"奥乐齐","奥乐齐-1069缤谷广场-晚班补货-小时工",是否学生,"社会人士"
523115,"奥乐齐","奥乐齐-1048 龙华会-晚班补货-小时工",是否学生,"社会人士"
522831,"奥乐齐","奥乐齐-1078 宝杨宝龙-社会兼职-兼职",是否学生,"社会人士"
522783,"奥乐齐","奥乐齐-1068 宝山万达-晚班补货-小时工",是否学生,"社会人士"
522505,"奥乐齐","奥乐齐-1079 中房金谊广场-社会兼职-兼职",是否学生,"社会人士"
521461,"奥乐齐","奥乐齐-1073永新坊-分拣打包-小时工",是否学生,"社会人士"
521457,"奥乐齐","奥乐齐-1075 漫乐城-分拣打包-小时工",是否学生,"社会人士"
521119,"奥乐齐","奥乐齐-1070世博新里-计件补货-兼职",是否学生,"社会人士"
520976,"奥乐齐","奥乐齐-1068 宝山万达-社会兼职-兼职",是否学生,"社会人士"
520857,"奥乐齐","奥乐齐-1006 富都-社会兼职-兼职",是否学生,"社会人士"
520772,"奥乐齐","奥乐齐-1061 长白-社会兼职-兼职",是否学生,"社会人士"
520738,"奥乐齐","奥乐齐-1066 金山都乐汇-社会兼职-小时工",是否学生,"社会人士"
520612,"奥乐齐","奥乐齐-1068 宝山万达-分拣打包-小时工",是否学生,"社会人士"
520439,"奥乐齐","奥乐齐-1063漫圈邻里-社会兼职-兼职",是否学生,"社会人士"
520437,"奥乐齐","奥乐齐-1059 徐汇万科-社会兼职-小时工",是否学生,"社会人士"
520423,"奥乐齐","奥乐齐-1014控江-社会兼职-兼职",是否学生,"社会人士"
520422,"奥乐齐","奥乐齐- 1011世茂-社会兼职-兼职",是否学生,"社会人士"
520339,"奥乐齐","奥乐齐-1057 光启城-社会兼职-兼职",是否学生,"社会人士"
520335,"奥乐齐","奥乐齐-1029 大木桥-社会兼职-小时工",是否学生,"社会人士"
520333,"奥乐齐","奥乐齐-1023 金杨-社会兼职-兼职",是否学生,"社会人士"
519928,"奥乐齐","奥乐齐-1029 大木桥-计件补货-小时工",是否学生,"社会人士"
519803,"奥乐齐","奥乐齐-1048 龙华会-社会兼职-小时工",是否学生,"社会人士"
519802,"奥乐齐","奥乐齐-1038 漕宝日月光-社会兼职-兼职",是否学生,"社会人士"
516579,"奥乐齐","奥乐齐-1041 凯德虹口-分拣打包-小时工",是否学生,"社会人士"
529058,"成都你六姐","成都你六姐-上海西岸凤巢店-后厨（有证约）-小时工",学历,"初中"
529057,"成都你六姐","成都你六姐-上海南洋1931店-后厨（有证约）-小时工",学历,"初中"
529057,"成都你六姐","成都你六姐-上海南洋1931店-后厨（有证约）-小时工",是否学生,"社会人士"
529048,"成都你六姐","成都你六姐-上海黄浦日月光店-后厨（有证约）-小时工",学历,"初中"
529048,"成都你六姐","成都你六姐-上海黄浦日月光店-后厨（有证约）-小时工",是否学生,"社会人士"
529047,"成都你六姐","成都你六姐-上海奉贤龙湖店-前厅服务员（有证约）-小时工",学历,"初中"
529046,"成都你六姐","成都你六姐-苏州新区永旺店-洗碗工-小时工",学历,"初中"
529046,"成都你六姐","成都你六姐-苏州新区永旺店-洗碗工-小时工",是否学生,"社会人士"
529022,"成都你六姐","成都你六姐-上海博华广场店-收银员（有证约）-小时工",学历,"初中"
529022,"成都你六姐","成都你六姐-上海博华广场店-收银员（有证约）-小时工",是否学生,"社会人士"
529021,"成都你六姐","成都你六姐-上海黄浦日月光店-洗碗工（有证约）-小时工",学历,"初中"
529021,"成都你六姐","成都你六姐-上海黄浦日月光店-洗碗工（有证约）-小时工",是否学生,"社会人士"
529015,"成都你六姐","成都你六姐-上海佘山旭辉里店-前厅服务员（有证约）-小时工",学历,"初中"
529015,"成都你六姐","成都你六姐-上海佘山旭辉里店-前厅服务员（有证约）-小时工",是否学生,"社会人士"
529014,"成都你六姐","成都你六姐-上海佘山旭辉里店-早班开档（有证约）-小时工",学历,"初中"
529014,"成都你六姐","成都你六姐-上海佘山旭辉里店-早班开档（有证约）-小时工",是否学生,"社会人士"
528997,"成都你六姐","成都你六姐-上海海梦一方店-后厨（有证约）（有经验）-小时工",学历,"初中"
528997,"成都你六姐","成都你六姐-上海海梦一方店-后厨（有证约）（有经验）-小时工",是否学生,"社会人士"
528992,"成都你六姐","成都你六姐-上海松江大学城店（新店）-洗碗工-小时工",学历,"初中"
528992,"成都你六姐","成都你六姐-上海松江大学城店（新店）-洗碗工-小时工",是否学生,"社会人士"
528991,"成都你六姐","成都你六姐-上海松江大学城店（新店）-前厅服务员-小时工",学历,"初中"
528991,"成都你六姐","成都你六姐-上海松江大学城店（新店）-前厅服务员-小时工",是否学生,"社会人士"
528990,"成都你六姐","成都你六姐-上海松江大学城店（新店）-后厨（有证约）-小时工",学历,"初中"
528990,"成都你六姐","成都你六姐-上海松江大学城店（新店）-后厨（有证约）-小时工",是否学生,"社会人士"
528989,"成都你六姐","成都你六姐-上海松江大学城店（新店）-早班开档（有证约）-小时工",学历,"初中"
528989,"成都你六姐","成都你六姐-上海松江大学城店（新店）-早班开档（有证约）-小时工",是否学生,"社会人士"
528982,"成都你六姐","成都你六姐-上海龙盛广场店-前厅服务员（有证约）-小时工",学历,"初中"
528982,"成都你六姐","成都你六姐-上海龙盛广场店-前厅服务员（有证约）-小时工",是否学生,"社会人士"
528981,"成都你六姐","成都你六姐-上海闵行万辉广场店-前厅服务员（有证约）-小时工",学历,"初中"
528981,"成都你六姐","成都你六姐-上海闵行万辉广场店-前厅服务员（有证约）-小时工",是否学生,"社会人士"
528980,"成都你六姐","成都你六姐-上海百联又一城店-早班开档（有证约）-小时工",学历,"初中"
528980,"成都你六姐","成都你六姐-上海百联又一城店-早班开档（有证约）-小时工",是否学生,"社会人士"
528979,"成都你六姐","成都你六姐-上海乐虹坊店-前厅服务员（有证约）-小时工",学历,"初中"
528979,"成都你六姐","成都你六姐-上海乐虹坊店-前厅服务员（有证约）-小时工",是否学生,"社会人士"
528978,"成都你六姐","成都你六姐-上海黄浦日月光店-前厅服务员（有证约）-小时工",学历,"初中"
528978,"成都你六姐","成都你六姐-上海黄浦日月光店-前厅服务员（有证约）-小时工",是否学生,"社会人士"
528977,"成都你六姐","成都你六姐-上海大丸百货店-早班开档-小时工",学历,"初中"
528977,"成都你六姐","成都你六姐-上海大丸百货店-早班开档-小时工",是否学生,"社会人士"
528973,"成都你六姐","成都你六姐-上海宝山海江新天地店-后厨（有证约）（有经验）-小时工",学历,"初中"
528973,"成都你六姐","成都你六姐-上海宝山海江新天地店-后厨（有证约）（有经验）-小时工",是否学生,"社会人士"
528920,"成都你六姐","成都你六姐-上海浦东亿丰时代广场店（新店储备）-前厅服务员（有证约）-小时工",学历,"初中"
528920,"成都你六姐","成都你六姐-上海浦东亿丰时代广场店（新店储备）-前厅服务员（有证约）-小时工",是否学生,"社会人士"
528919,"成都你六姐","成都你六姐-上海浦东亿丰时代广场店（新店储备）-洗碗工（有证约）-小时工",学历,"初中"
528919,"成都你六姐","成都你六姐-上海浦东亿丰时代广场店（新店储备）-洗碗工（有证约）-小时工",是否学生,"社会人士"
528918,"成都你六姐","成都你六姐-上海浦东亿丰时代广场店（新店储备）-后厨（有证约）-小时工",学历,"初中"
528918,"成都你六姐","成都你六姐-上海浦东亿丰时代广场店（新店储备）-后厨（有证约）-小时工",是否学生,"社会人士"
528917,"成都你六姐","成都你六姐-上海浦东亿丰时代广场店（新店储备）-晚班收档-小时工",学历,"初中"
528917,"成都你六姐","成都你六姐-上海浦东亿丰时代广场店（新店储备）-晚班收档-小时工",是否学生,"社会人士"
528916,"成都你六姐","成都你六姐-上海浦东亿丰时代广场店（新店储备）-早班开档-小时工",学历,"初中"
528916,"成都你六姐","成都你六姐-上海浦东亿丰时代广场店（新店储备）-早班开档-小时工",是否学生,"社会人士"
528913,"成都你六姐","成都你六姐-上海虹口龙之梦店-前厅服务员（有证约）-小时工",学历,"初中"
528913,"成都你六姐","成都你六姐-上海虹口龙之梦店-前厅服务员（有证约）-小时工",是否学生,"社会人士"
528912,"成都你六姐","成都你六姐-上海虹口龙之梦店-后厨（有证约）-小时工",学历,"初中"
528912,"成都你六姐","成都你六姐-上海虹口龙之梦店-后厨（有证约）-小时工",是否学生,"社会人士"
528911,"成都你六姐","成都你六姐-上海湖滨道店-后厨（有证约）-小时工",学历,"初中"
528911,"成都你六姐","成都你六姐-上海湖滨道店-后厨（有证约）-小时工",是否学生,"社会人士"
528910,"成都你六姐","成都你六姐-上海湖滨道店-前厅服务员（有证约）-小时工",学历,"初中"
528910,"成都你六姐","成都你六姐-上海湖滨道店-前厅服务员（有证约）-小时工",是否学生,"社会人士"
528907,"成都你六姐","成都你六姐-上海缤谷广场店-后厨（有证约）-小时工",学历,"初中"
528907,"成都你六姐","成都你六姐-上海缤谷广场店-后厨（有证约）-小时工",是否学生,"社会人士"
528906,"成都你六姐","成都你六姐-上海新邻生活站-前厅服务员（有证约）-小时工",学历,"初中"
528906,"成都你六姐","成都你六姐-上海新邻生活站-前厅服务员（有证约）-小时工",是否学生,"社会人士"
528904,"成都你六姐","成都你六姐-上海大宁音广店-前厅服务员（有证约）-小时工",学历,"初中"
528904,"成都你六姐","成都你六姐-上海大宁音广店-前厅服务员（有证约）-小时工",是否学生,"社会人士"
528903,"成都你六姐","成都你六姐-上海奉贤南桥百联店-洗碗工（有证约）-小时工",学历,"初中"
528903,"成都你六姐","成都你六姐-上海奉贤南桥百联店-洗碗工（有证约）-小时工",是否学生,"社会人士"
528901,"成都你六姐","成都你六姐-上海海梦一方店-洗碗工（有证约）-小时工",学历,"初中"
528901,"成都你六姐","成都你六姐-上海海梦一方店-洗碗工（有证约）-小时工",是否学生,"社会人士"
528880,"成都你六姐","成都你六姐-上海亚繁亚乐城店-后厨-小时工",学历,"初中"
528880,"成都你六姐","成都你六姐-上海亚繁亚乐城店-后厨-小时工",是否学生,"社会人士"
528876,"成都你六姐","成都你六姐-上海大宁久光店-后厨-小时工",学历,"初中"
528876,"成都你六姐","成都你六姐-上海大宁久光店-后厨-小时工",是否学生,"社会人士"
528870,"成都你六姐","成都你六姐-上海闵行星悦荟店-后厨（有证约）（夜宵岗）-小时工",学历,"初中"
528869,"成都你六姐","成都你六姐-上海闵行星悦荟店-后厨（有证约）-小时工",学历,"初中"
528868,"成都你六姐","成都你六姐-上海闵行星悦荟店-早班开档（有证约）（杀牛蛙）-小时工",学历,"初中"
528865,"成都你六姐","成都你六姐-上海宝杨宝龙店-后厨（有证、有经验约）-小时工",学历,"初中"
528859,"成都你六姐","成都你六姐-上海外高桥山姆店-后厨-小时工",学历,"初中"
528858,"成都你六姐","成都你六姐-上海奉贤龙湖店-后厨-小时工",学历,"初中"
528856,"成都你六姐","成都你六姐-上海万源城开中心店（新店储备）-后厨（夜宵岗）-小时工",学历,"初中"
528856,"成都你六姐","成都你六姐-上海万源城开中心店（新店储备）-后厨（夜宵岗）-小时工",是否学生,"社会人士"
528855,"成都你六姐","成都你六姐-上海陆家嘴软件园店-前厅服务员（夜宵）-小时工",学历,"初中"
528830,"成都你六姐","成都你六姐-上海七宝邻展广场店-后厨（有证约）-小时工",学历,"初中"
528777,"成都你六姐","成都你六姐-上海三林新达汇店-后厨（有证约）-小时工",学历,"初中"
528721,"成都你六姐","成都你六姐-上海宝山万达店-后厨（夜宵岗）-小时工",学历,"初中"
529063,"大米先生","大米先生-仲盛世界商城-前厅服务-小时工",健康证情况,"食品健康证"
529062,"大米先生","大米先生-乐尚天地-前厅服务-小时工",健康证情况,"食品健康证"
528835,"大米先生","大米先生-中赢国际店-前厅服务-小时工",健康证情况,"食品健康证"
528835,"大米先生","大米先生-中赢国际店-前厅服务-小时工",是否学生,"社会人士"
528834,"大米先生","大米先生-川沙九六广场店-前厅服务-小时工",健康证情况,"食品健康证"
528462,"大米先生","大米先生-三林新达汇-前厅服务-小时工",健康证情况,"食品健康证"
526796,"大米先生","大米先生-紫叶广场-店员-小时工",健康证情况,"食品健康证"
526501,"大米先生","大米先生-亿丰时代-前厅服务-全职",健康证情况,"食品健康证"
520094,"山姆","山姆-常州山姆-推车-小时工",健康证情况,"食品健康证"
520094,"山姆","山姆-常州山姆-推车-小时工",是否学生,"社会人士"
520095,"山姆","山姆超市-常州山姆-保洁-全职",健康证情况,"食品健康证"
520095,"山姆","山姆超市-常州山姆-保洁-全职",是否学生,"社会人士"
529067,"塔可贝尔","塔可贝尔-张江高科-打烊清洁-小时工",是否学生,"社会人士"
527054,"塔可贝尔","塔可贝尔-丁香国际-门店服务员-小时工",健康证情况,"食品健康证"
529061,"乐高","乐高-季节性活动运营-演出服助理-小时工",是否学生,"社会人士"
528996,"乐高","乐高-季节性活动运营-季节性活动运营-小时工",健康证情况,"食品健康证"
528996,"乐高","乐高-季节性活动运营-季节性活动运营-小时工",是否学生,"社会人士"
528882,"乐高","乐高-化妆师-化妆师（助理）-小时工",是否学生,"社会人士"
529076,"肯德基","肯德基-福源花园-餐厅服务员-小时工",学历,"初中"
529080,"肯德基","肯德基-河套科创中心-餐厅服务员-小时工",学历,"初中"
529052,"肯德基","肯德基-龙翔-餐厅服务员-小时工",学历,"初中"
529041,"肯德基","肯德基-梁明轩-平山印-1-普通服务员-小时工",健康证情况,"食品健康证"
529041,"肯德基","肯德基-梁明轩-平山印-1-普通服务员-小时工",是否学生,"社会人士"
529040,"肯德基","肯德基-梁明轩-王兰庄-1-普通服务员-小时工",健康证情况,"食品健康证"
529040,"肯德基","肯德基-梁明轩-王兰庄-1-普通服务员-小时工",是否学生,"社会人士"
528925,"肯德基","肯德基-星河双子塔-餐厅服务员-小时工",学历,"初中"
528927,"肯德基","肯德基-坂田手造街-餐厅服务员-小时工",学历,"初中"
528929,"肯德基","肯德基-横琴华发商都-餐厅服务员-小时工",学历,"初中"
528930,"肯德基","肯德基-横琴汇通路-餐厅服务员-小时工",学历,"初中"
528931,"肯德基","肯德基-华发首府花园KFC-餐厅服务员-小时工",学历,"初中"
528932,"肯德基","肯德基-福民路店KFC-餐厅服务员-小时工",学历,"初中"
528933,"肯德基","肯德基-东方雅苑-餐厅服务员-小时工",学历,"初中"
528934,"肯德基","肯德基-中深花园-餐厅服务员-小时工",学历,"初中"
528935,"肯德基","肯德基-腾讯总部kfc-餐厅服务员-小时工",学历,"初中"
528921,"肯德基","肯德基-亚龙湾KPRO-餐厅服务员-小时工",学历,"初中"
528921,"肯德基","肯德基-亚龙湾KPRO-餐厅服务员-小时工",是否学生,"社会人士"
528854,"肯德基","肯德基-曙光DT-餐厅服务员-小时工",学历,"初中"
528838,"肯德基","肯德基-荔海KFC-通宵夜班-小时工",学历,"初中"
528839,"肯德基","肯德基-生态城-通宵夜班-小时工",学历,"初中"
528840,"肯德基","肯德基-海景大厦-通宵夜班-小时工",学历,"初中"
528843,"肯德基","肯德基-前海香江-通宵夜班-小时工",学历,"初中"
528845,"肯德基","肯德基-阳光科创-通宵夜班-小时工",学历,"初中"
528846,"肯德基","肯德基-卓越后海-通宵夜班-小时工",学历,"初中"
528737,"肯德基","肯德基-国际名园-通宵夜班-小时工",学历,"初中"
528618,"肯德基","肯德基-上东湾KPRO-餐厅服务员-小时工",学历,"初中"
528609,"肯德基","肯德基-新秀-通宵夜班-小时工",学历,"初中"
528590,"肯德基","肯德基-梁明轩-熙悦汇-TJ1035-大夜班服务员-小时工",健康证情况,"食品健康证"
528590,"肯德基","肯德基-梁明轩-熙悦汇-TJ1035-大夜班服务员-小时工",是否学生,"社会人士"
528588,"肯德基","肯德基-梁明轩-大成广场-TJ2124-大夜班服务员-小时工",健康证情况,"食品健康证"
528588,"肯德基","肯德基-梁明轩-大成广场-TJ2124-大夜班服务员-小时工",是否学生,"社会人士"
528521,"肯德基","肯德基-恒大都会-餐厅服务员-小时工",学历,"初中"
528483,"肯德基","肯德基-云科府KPRO-餐厅服务员-小时工",学历,"初中"
528484,"肯德基","肯德基-塘家KFC-餐厅服务员-小时工",学历,"初中"
528431,"肯德基","肯德基-仁恒置地国际中心-招募文员兼职-小时工",是否学生,"社会人士"
528310,"肯德基","肯德基-恒福居-餐厅服务员-小时工",学历,"初中"
528296,"肯德基","肯德基-天安云谷二店KFC-餐厅服务员-小时工",学历,"初中"
528201,"肯德基","肯德基-光明龙光广场KFC-餐厅服务员-小时工",学历,"初中"
528159,"肯德基","肯德基-梁明轩-燕京理工学院KFC-TJ2050-普通服务员-小时工",健康证情况,"食品健康证"
528159,"肯德基","肯德基-梁明轩-燕京理工学院KFC-TJ2050-普通服务员-小时工",是否学生,"社会人士"
529068,"必胜客","必胜客-宁波杉杉国贸-宁波杉杉国贸-消峰-小时工",学历,"高中"
529069,"必胜客","必胜客-新城银泰-新城银泰-消峰-小时工",学历,"高中"
529070,"必胜客","必胜客-宁波港隆时代店 PH-宁波港隆时代店 PH-消峰-小时工",学历,"高中"
529071,"必胜客","必胜客-慈溪保利城店 PH-慈溪保利城店 PH-小时工",学历,"高中"
529072,"必胜客","必胜客-周巷嘉悦-周巷嘉悦-小时工",学历,"高中"
529073,"必胜客","必胜客-慈溪逍林逍里大厦-慈溪逍林逍里大厦-小时工",学历,"高中"
529074,"必胜客","必胜客-宁波鄞州龙湖-宁波鄞州龙湖-消峰-小时工",学历,"高中"
529075,"必胜客","必胜客-宁波远大宝龙 PH-宁波远大宝龙 PH-消峰-小时工",学历,"高中"
529056,"必胜客","必胜客-禅西环宇城-内场/外场-小时工",学历,"初中"
529055,"必胜客","必胜客-回龙观-内场/外场-小时工",学历,"高中"
529055,"必胜客","必胜客-回龙观-内场/外场-小时工",是否学生,"社会人士"
529051,"必胜客","必胜客-阿里巴巴-内场/外场-小时工",学历,"初中"
529051,"必胜客","必胜客-阿里巴巴-内场/外场-小时工",健康证情况,"食品健康证"
529051,"必胜客","必胜客-阿里巴巴-内场/外场-小时工",是否学生,"社会人士"
529038,"必胜客","必胜客-富丰路-内场/外场-小时工",学历,"高中"
529038,"必胜客","必胜客-富丰路-内场/外场-小时工",是否学生,"社会人士"
529037,"必胜客","必胜客-闵庄-内场/外场-小时工",是否学生,"社会人士"
529036,"必胜客","必胜客-城乡店-内场/外场-小时工",学历,"高中"
529036,"必胜客","必胜客-城乡店-内场/外场-小时工",是否学生,"社会人士"
529035,"必胜客","必胜客-唐家岭-内场/外场-小时工",学历,"高中"
529035,"必胜客","必胜客-唐家岭-内场/外场-小时工",是否学生,"社会人士"
529012,"必胜客","必胜客-顺德大信PH-内场/外场-小时工",学历,"初中"
529011,"必胜客","必胜客-丹灶万民PH-内场/外场-小时工",学历,"初中"
529010,"必胜客","必胜客-绿岛卫星PH-内场/外场-小时工",学历,"初中"
529002,"必胜客","必胜客-肇庆星湖PH-内场-小时工",学历,"初中"
529000,"必胜客","必胜客-盈信广场PH-内场/外场-小时工",学历,"初中"
528999,"必胜客","必胜客-顺德欢乐海岸PH-内场/外场-小时工",学历,"初中"
528994,"必胜客","必胜客-慈寿寺卫星PH-夜宵-小时工",学历,"初中"
528994,"必胜客","必胜客-慈寿寺卫星PH-夜宵-小时工",是否学生,"社会人士"
528988,"必胜客","必胜客-白石桥-汉堡-小时工",学历,"高中"
528988,"必胜客","必胜客-白石桥-汉堡-小时工",是否学生,"社会人士"
528987,"必胜客","必胜客-酒仙桥-汉堡-小时工",学历,"中专\技校\职高"
528987,"必胜客","必胜客-酒仙桥-汉堡-小时工",是否学生,"社会人士"
528986,"必胜客","必胜客-百莲路-内外场-小时工",学历,"高中"
528986,"必胜客","必胜客-百莲路-内外场-小时工",是否学生,"社会人士"
528971,"必胜客","必胜客-酒仙桥-夜宵-内场/外场-小时工",学历,"初中"
528971,"必胜客","必胜客-酒仙桥-夜宵-内场/外场-小时工",是否学生,"社会人士"
528970,"必胜客","必胜客-五道口-夜宵-内场/外场-小时工",学历,"高中"
528970,"必胜客","必胜客-五道口-夜宵-内场/外场-小时工",是否学生,"社会人士"
528947,"必胜客","必胜客-樵岭国际PH-内场/外场-小时工",学历,"初中"
528948,"必胜客","必胜客-三水广场PH-内场/外场-小时工",学历,"初中"
528949,"必胜客","必胜客-顺德山姆-内场/外场-小时工",学历,"初中"
528950,"必胜客","必胜客-乐从家具城卫星PH-内场/外场-小时工",学历,"初中"
528951,"必胜客","必胜客-小塘添盛PH-内场/外场-小时工",学历,"初中"
528953,"必胜客","必胜客-高明钧明城卫星PH-内场/外场-小时工",学历,"初中"
528954,"必胜客","必胜客-月星环球港卫星PH-内场/外场-小时工",学历,"初中"
528957,"必胜客","必胜客-三水新动力PH-内场/外场-小时工",学历,"初中"
528959,"必胜客","必胜客-三水万达广场PH-内场/外场-小时工",学历,"初中"
528960,"必胜客","必胜客-高明PH-内场/外场-小时工",学历,"初中"
528961,"必胜客","必胜客-怡丰城PH-内场/外场-小时工",学历,"初中"
528962,"必胜客","必胜客-乐从店PH-内场/外场-小时工",学历,"初中"
528963,"必胜客","必胜客-博爱PH-内场/外场-小时工",学历,"初中"
528966,"必胜客","必胜客-印象城PH-内场/外场-小时工",学历,"初中"
528967,"必胜客","必胜客-狮山星河卫星PH-内场/外场-小时工",学历,"初中"
528943,"必胜客","必胜客-顺德大润发-餐厅服务员-小时工",学历,"高中"
528944,"必胜客","必胜客-南国PH-餐厅服务员-小时工",学历,"高中"
528946,"必胜客","必胜客-南庄吉利PH-内场/外场-小时工",学历,"初中"
